VBELN,CustomerId,CustomerName,Country,Segment,Product,Qty_Ordered,Unit_Price_EUR,Net_Value_EUR,Currency,SO_Date,Requested_Delivery_Date,Incoterms,Payment_Terms,Status,SalesOffice,SalesRep,Offset_Obligation_Pct
SD00000001,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Government,Falcon 6X,2,45000000,90232448.97,EUR,2019-12-10,2023-06-24,DAP,L/C 90 days,Fully Delivered,New Delhi,Sophie Leclerc,0
SD00000002,CUST-EGY-001,Egyptian Air Force,Egypt,Government,Falcon 6X,10,45000000,433944567.36,EUR,2018-01-30,2020-04-13,DAP,Milestone-based,Fully Delivered,Paris,Jean-Pierre Martin,50
SD00000003,CUST-UAE-001,UAE Air Force,UAE,Government,Spare_Parts_Bundle,1,2500000,2440597.59,EUR,2019-10-18,2021-06-06,CIF,Milestone-based,Fully Delivered,Paris,Antoine Morel,0
SD00000004,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,Spare_Parts_Bundle,1,2500000,2504670.33,EUR,2018-12-23,2022-01-09,DDP,Milestone-based,In Production,Cairo,Isabelle Bernard,30
SD00000005,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Government,MRO_Package_Annual,1,5000000,5031020.65,EUR,2020-12-24,2024-03-08,DDP,L/C 90 days,Open,Paris,Marc Dupont,0
SD00000006,CUST-PRIV-002,Reliance Industries,India,Private,Rafale F4,9,95000000,882075114.18,EUR,2023-02-01,2025-09-21,DDP,L/C 90 days,Fully Delivered,Paris,Isabelle Bernard,0
SD00000007,CUST-IND-001,Indian Air Force,India,Government,Falcon 8X,12,60000000,715646629.37,EUR,2019-05-11,2022-06-24,CIF,L/C 90 days,In Production,New Delhi,Sophie Leclerc,50
SD00000008,CUST-PRIV-004,Total Energies,France,Commercial,Falcon 6X,10,45000000,456992823.86,EUR,2020-02-02,2020-09-28,DDP,"30% advance, 70% on delivery",In Production,Singapore,Antoine Morel,0
SD00000009,CUST-PRIV-002,Reliance Industries,India,Private,Falcon 6X,12,45000000,535244774.89,EUR,2019-12-03,2020-12-23,EXW,L/C 90 days,Fully Delivered,Singapore,Jean-Pierre Martin,0
SD00000010,CUST-PRIV-003,Air France,France,Commercial,Falcon 10X,4,75000000,301594091.93,EUR,2019-08-13,2021-06-07,EXW,L/C 90 days,Fully Delivered,Abu Dhabi,Sophie Leclerc,0
SD00000011,CUST-PRIV-002,Reliance Industries,India,Private,Falcon 6X,6,45000000,271510491.69,EUR,2021-06-15,2023-06-11,CIF,L/C 90 days,Partially Delivered,Cairo,Isabelle Bernard,0
SD00000012,CUST-UAE-001,UAE Air Force,UAE,Government,Falcon 8X,7,60000000,411173397.34,EUR,2018-03-22,2021-11-30,EXW,L/C 90 days,In Production,Cairo,Antoine Morel,50
SD00000013,CUST-PRIV-004,Total Energies,France,Commercial,Rafale F4,3,95000000,296208249.27,EUR,2022-12-03,2023-06-06,DDP,Milestone-based,In Production,Paris,Sophie Leclerc,0
SD00000014,CUST-IND-001,Indian Air Force,India,Government,MRO_Package_Annual,1,5000000,4873244.68,EUR,2023-04-04,2026-09-14,DAP,"30% advance, 70% on delivery",Cancelled,Cairo,Marc Dupont,0
SD00000015,CUST-PRIV-002,Reliance Industries,India,Private,Falcon 6X,3,45000000,130264734.3,EUR,2019-02-08,2020-05-08,CIF,L/C 90 days,Fully Delivered,Paris,Antoine Morel,0
SD00000016,CUST-UAE-001,UAE Air Force,UAE,Government,Falcon 8X,1,60000000,62300228.88,EUR,2020-12-22,2024-07-29,CIF,L/C 90 days,Partially Delivered,Singapore,Antoine Morel,50
SD00000017,CUST-IDN-001,Indonesian Air Force,Indonesia,Government,MRO_Package_Annual,1,5000000,5091798.65,EUR,2022-03-05,2025-07-20,DDP,L/C 90 days,In Production,Singapore,Isabelle Bernard,0
SD00000018,CUST-IND-001,Indian Air Force,India,Government,Falcon 6X,1,45000000,44001585.85,EUR,2021-05-22,2023-03-16,DAP,L/C 90 days,Cancelled,Singapore,Marc Dupont,0
