CaseId,AccountId,AccountName,CaseType,Priority,Status,Product,CreatedDate,ResolvedDate,Resolution_Days,SLA_Respected,TechnicianAssigned,Region,Description
CAS00001,ACC0015,MBDA India,Technical Issue,Medium,Closed,Rafale F3-R,2019-11-08,2019-12-24,46.0,False,Thomas Laurent,Europe,Avionics software update required
CAS00002,ACC0028,Belgian Air Force,Warranty Claim,Medium,Closed,Rafale F4,2021-04-09,2021-06-10,62.0,False,Julie Petit,Europe,Spare part not delivered on time
CAS00003,ACC0025,Malaysian RMAF,Warranty Claim,High,In Progress,MRO Contract Rafale,2021-08-05,,,,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00004,ACC0028,Belgian Air Force,Training Request,Medium,Closed,Rafale F4,2023-09-11,2023-09-26,15.0,True,Pierre Renard,Europe,Engine vibration anomaly reported during training
CAS00005,ACC0023,Egyptian Air Force,Warranty Claim,High,Escalated,Falcon 8X,2021-07-19,,,,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00006,ACC0017,GE Aviation India,Warranty Claim,Medium,Closed,MRO Contract Rafale,2022-10-01,2023-03-26,176.0,False,Luc Fabre,Asia,Spare part not delivered on time
CAS00007,ACC0024,Royal Saudi Air Force,Technical Issue,High,Closed,Falcon 8X,2019-05-22,2019-11-06,168.0,False,Julie Petit,Middle East,Structural inspection due — spare needed
CAS00008,ACC0002,Indian Navy,Spare Part Urgent,High,In Progress,Falcon 6X,2022-07-18,,,,Claire Vidal,Africa,Maintenance contract renewal query
CAS00009,ACC0008,Croatian Air Force,Delivery Delay,Critical,Closed,Falcon 6X,2021-07-07,2021-08-28,52.0,False,Claire Vidal,Europe,Maintenance contract renewal query
CAS00010,ACC0010,Safran Group,Technical Issue,Medium,Closed,MRO Contract Rafale,2021-03-03,2021-03-17,14.0,True,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00011,ACC0013,Tata Advanced Systems,Technical Issue,Medium,Closed,Rafale F4,2021-12-15,2022-04-09,115.0,False,Luc Fabre,Europe,Avionics software update required
CAS00012,ACC0001,Indian Air Force,Delivery Delay,High,Closed,MRO Contract Rafale,2022-01-09,2022-02-07,29.0,True,Pierre Renard,Asia,Structural inspection due — spare needed
CAS00013,ACC0029,Finnish Air Force,Spare Part Urgent,Medium,Closed,Rafale F3-R,2021-07-06,2021-12-14,161.0,False,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00014,ACC0027,Swiss Air Force,Training Request,Medium,Closed,Falcon 6X,2023-03-13,2023-04-10,28.0,True,Claire Vidal,Asia,Engine vibration anomaly reported during training
CAS00015,ACC0012,Dassault Reliance Aerospace,Documentation,Medium,Closed,Rafale F4,2020-01-22,2020-03-23,61.0,False,Luc Fabre,Africa,Maintenance contract renewal query
CAS00016,ACC0003,Armée de l'Air française,Spare Part Urgent,Critical,Closed,Falcon 6X,2019-08-23,2019-11-24,93.0,False,Julie Petit,Europe,Structural inspection due — spare needed
CAS00017,ACC0007,Indonesian Air Force,Training Request,Medium,Closed,Falcon 6X,2021-10-10,2021-10-29,19.0,True,Claire Vidal,Asia,Maintenance contract renewal query
CAS00018,ACC0016,Reliance Defence,Documentation,High,Closed,Falcon 6X,2019-04-25,2019-06-30,66.0,False,Claire Vidal,Middle East,Maintenance contract renewal query
CAS00019,ACC0023,Egyptian Air Force,Delivery Delay,Low,Closed,Falcon 8X,2022-04-27,2022-07-27,91.0,False,Julie Petit,Europe,Spare part not delivered on time
CAS00020,ACC0030,Kuwait Air Force,Training Request,Low,Closed,Falcon 6X,2023-02-18,2023-08-07,170.0,False,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00021,ACC0019,Collins Aerospace India,Training Request,Medium,Closed,Falcon 8X,2021-12-04,2021-12-08,4.0,True,Thomas Laurent,Europe,Spare part not delivered on time
CAS00022,ACC0021,Boeing India,Documentation,Low,Closed,Falcon 6X,2021-01-16,2021-06-14,149.0,False,Luc Fabre,Asia,Spare part not delivered on time
CAS00023,ACC0030,Kuwait Air Force,Technical Issue,Medium,Closed,MRO Contract Rafale,2023-04-18,2023-05-05,17.0,True,Luc Fabre,Europe,Maintenance contract renewal query
CAS00024,ACC0004,UAE Air Force,Training Request,Low,Closed,MRO Contract Rafale,2019-04-19,2019-06-15,57.0,False,Luc Fabre,Middle East,Structural inspection due — spare needed
CAS00025,ACC0009,Airbus Group,Documentation,Medium,Closed,Rafale F3-R,2019-01-15,2019-02-02,18.0,True,Pierre Renard,Europe,Spare part not delivered on time
CAS00026,ACC0016,Reliance Defence,Technical Issue,High,Closed,MRO Contract Rafale,2023-07-22,2023-12-05,136.0,False,Thomas Laurent,Middle East,Avionics software update required
CAS00027,ACC0027,Swiss Air Force,Technical Issue,High,Closed,MRO Contract Rafale,2024-07-03,2024-07-16,13.0,True,Thomas Laurent,Asia,Spare part not delivered on time
CAS00028,ACC0023,Egyptian Air Force,Technical Issue,Medium,Closed,Falcon 6X,2023-04-29,2023-05-25,26.0,True,Julie Petit,Europe,Avionics software update required
CAS00029,ACC0010,Safran Group,Training Request,Medium,Escalated,Falcon 8X,2023-11-13,,,,Julie Petit,Europe,Documentation missing for customs
CAS00030,ACC0013,Tata Advanced Systems,Delivery Delay,Critical,Closed,Rafale F3-R,2020-04-04,2020-05-17,43.0,False,Pierre Renard,Europe,Documentation missing for customs
CAS00031,ACC0013,Tata Advanced Systems,Documentation,Medium,Closed,Falcon 8X,2021-09-10,2022-02-03,146.0,False,Julie Petit,Europe,Maintenance contract renewal query
CAS00032,ACC0020,Rolls-Royce India,Training Request,Medium,Closed,Falcon 6X,2020-12-16,2020-12-29,13.0,True,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00033,ACC0009,Airbus Group,Warranty Claim,Medium,Closed,MRO Contract Rafale,2023-09-01,2023-10-20,49.0,False,Pierre Renard,Europe,Maintenance contract renewal query
CAS00034,ACC0004,UAE Air Force,Spare Part Urgent,Medium,Closed,Falcon 8X,2024-06-30,2024-09-06,68.0,False,Thomas Laurent,Middle East,Avionics software update required
CAS00035,ACC0020,Rolls-Royce India,Spare Part Urgent,Medium,Closed,Falcon 8X,2021-09-04,2022-02-09,158.0,False,Julie Petit,Europe,Documentation missing for customs
CAS00036,ACC0007,Indonesian Air Force,Spare Part Urgent,Medium,Closed,Rafale F3-R,2021-08-21,2022-01-23,155.0,False,Pierre Renard,Asia,Documentation missing for customs
CAS00037,ACC0005,Hellenic Air Force,Delivery Delay,Critical,Closed,Falcon 6X,2019-05-28,2019-11-01,157.0,False,Claire Vidal,Europe,Avionics software update required
CAS00038,ACC0021,Boeing India,Training Request,High,Open,MRO Contract Rafale,2020-05-19,,,,Thomas Laurent,Asia,Structural inspection due — spare needed
CAS00039,ACC0019,Collins Aerospace India,Documentation,Critical,Closed,Rafale F3-R,2021-02-13,2021-04-16,62.0,False,Pierre Renard,Europe,Structural inspection due — spare needed
CAS00040,ACC0016,Reliance Defence,Documentation,Medium,Open,MRO Contract Rafale,2021-06-06,,,,Thomas Laurent,Middle East,Documentation missing for customs
