VBELN_DEL,VBELN_SO,CustomerId,CustomerName,Country,Product,Qty_Ordered,Qty_Delivered,Planned_Delivery_Date,Actual_Delivery_Date,Delay_Days,IsLate,ShipPoint,TransportMode,InspectionStatus,Anomaly
VL0080000000,SD00000001,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 6X,2,2,2023-06-24,2023-05-25,-30,False,Merignac,Road,Passed,
VL0080000001,SD00000002,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 6X,10,10,2020-04-13,2020-06-12,60,True,Merignac,Road,Passed,DELAY_60D
VL0080000002,SD00000003,CUST-UAE-001,UAE Air Force,UAE,Spare_Parts_Bundle,1,1,2021-06-06,2021-07-06,30,True,Nagpur,Air Freight,Conditional,
VL0080000003,SD00000006,CUST-PRIV-002,Reliance Industries,India,Rafale F4,9,9,2025-09-21,2025-11-20,60,True,Merignac,Air Freight,Passed,DELAY_60D
VL0080000004,SD00000009,CUST-PRIV-002,Reliance Industries,India,Falcon 6X,12,12,2020-12-23,2020-12-23,0,False,Nagpur,Road,Passed,
VL0080000005,SD00000010,CUST-PRIV-003,Air France,France,Falcon 10X,4,4,2021-06-07,2021-09-05,90,True,Bordeaux,Road,Passed,DELAY_90D
VL0080000006,SD00000011,CUST-PRIV-002,Reliance Industries,India,Falcon 6X,6,5,2023-06-11,2023-12-08,180,True,Nagpur,Road,Passed,CRITICAL_DELAY_180D
VL0080000007,SD00000015,CUST-PRIV-002,Reliance Industries,India,Falcon 6X,3,3,2020-05-08,2020-05-08,0,False,Nagpur,Air Freight,Conditional,
VL0080000008,SD00000016,CUST-UAE-001,UAE Air Force,UAE,Falcon 8X,1,0,2024-07-29,2024-07-29,0,False,Merignac,Sea Freight,Conditional,
VL0080000009,SD00000019,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F4,6,6,2021-07-01,2021-09-29,90,True,Merignac,Air Freight,Passed,DELAY_90D
VL0080000010,SD00000024,CUST-IND-001,Indian Air Force,India,Rafale F4,10,10,2024-04-05,2024-06-04,60,True,Nagpur,Air Freight,Conditional,DELAY_60D
VL0080000011,SD00000028,CUST-PRIV-002,Reliance Industries,India,Falcon 6X,12,12,2024-07-20,2024-09-18,60,True,Merignac,Road,Passed,DELAY_60D
VL0080000012,SD00000029,CUST-PRIV-004,Total Energies,France,MRO_Package_Annual,1,1,2024-02-26,2024-02-26,0,False,Bordeaux,Sea Freight,Conditional,
VL0080000013,SD00000031,CUST-IND-002,Indian Navy,India,Falcon 8X,1,0,2024-03-13,2024-06-11,90,True,Bordeaux,Air Freight,Conditional,DELAY_90D
VL0080000014,SD00000032,CUST-PRIV-001,Tata Sons Ltd,India,Training_Package,1,1,2023-09-19,2023-09-19,0,False,Bordeaux,Sea Freight,Conditional,
VL0080000015,SD00000033,CUST-HRV-001,Croatian Air Force,Croatia,Rafale F3-R,7,6,2021-06-28,2021-06-28,0,False,Merignac,Sea Freight,Failed,
VL0080000016,SD00000035,CUST-HRV-001,Croatian Air Force,Croatia,Training_Package,1,0,2025-08-15,2025-08-15,0,False,Bordeaux,Road,Passed,
VL0080000017,SD00000037,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Training_Package,1,0,2019-12-24,2019-12-24,0,False,Nagpur,Sea Freight,Passed,
VL0080000018,SD00000040,CUST-IND-001,Indian Air Force,India,Training_Package,1,0,2024-06-06,2024-06-06,0,False,Nagpur,Sea Freight,Passed,
VL0080000019,SD00000042,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,12,6,2021-11-09,2022-01-08,60,True,Bordeaux,Road,Passed,DELAY_60D
VL0080000020,SD00000044,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 8X,8,5,2025-08-09,2025-07-10,-30,False,Merignac,Road,Passed,
VL0080000021,SD00000046,CUST-IND-002,Indian Navy,India,Falcon 10X,6,6,2019-02-25,2019-02-25,0,False,Bordeaux,Air Freight,Passed,
VL0080000022,SD00000048,CUST-IND-001,Indian Air Force,India,MRO_Package_Annual,1,1,2021-01-02,2021-02-01,30,True,Bordeaux,Air Freight,Passed,
VL0080000023,SD00000049,CUST-IND-001,Indian Air Force,India,Falcon 10X,11,11,2026-04-12,2026-07-11,90,True,Nagpur,Sea Freight,Passed,DELAY_90D
VL0080000024,SD00000050,CUST-IDN-001,Indonesian Air Force,Indonesia,Training_Package,1,1,2025-04-14,2025-10-11,180,True,Nagpur,Sea Freight,Passed,CRITICAL_DELAY_180D
VL0080000025,SD00000051,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 6X,8,6,2021-10-06,2021-11-05,30,True,Merignac,Sea Freight,Passed,
VL0080000026,SD00000052,CUST-HRV-001,Croatian Air Force,Croatia,Falcon 8X,4,2,2027-08-03,2027-08-03,0,False,Merignac,Road,Passed,
VL0080000027,SD00000054,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,2,2,2020-06-03,2020-06-03,0,False,Nagpur,Sea Freight,Conditional,
VL0080000028,SD00000057,CUST-EGY-001,Egyptian Air Force,Egypt,Rafale F4,8,7,2025-05-30,2025-05-30,0,False,Bordeaux,Sea Freight,Passed,
VL0080000029,SD00000058,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F3-R,9,7,2020-03-27,2021-03-27,365,True,Nagpur,Road,Passed,CRITICAL_DELAY_365D
VL0080000030,SD00000059,CUST-IND-002,Indian Navy,India,Falcon 8X,4,3,2021-02-15,2021-01-16,-30,False,Bordeaux,Road,Passed,
VL0080000031,SD00000061,CUST-IDN-001,Indonesian Air Force,Indonesia,Rafale F3-R,5,5,2023-10-03,2024-01-01,90,True,Merignac,Sea Freight,Passed,DELAY_90D
VL0080000032,SD00000062,CUST-GRC-001,Hellenic Air Force,Greece,Spare_Parts_Bundle,1,0,2022-04-08,2022-05-08,30,True,Merignac,Sea Freight,Passed,
VL0080000033,SD00000064,CUST-UAE-001,UAE Air Force,UAE,Falcon 10X,10,8,2024-01-05,2024-01-05,0,False,Merignac,Air Freight,Passed,
VL0080000034,SD00000066,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Falcon 8X,1,0,2022-06-22,2022-07-22,30,True,Merignac,Air Freight,Passed,
VL0080000035,SD00000067,CUST-QAT-001,Qatar Emiri Air Force,Qatar,Spare_Parts_Bundle,1,1,2026-11-25,2026-12-25,30,True,Merignac,Road,Passed,
VL0080000036,SD00000068,CUST-IND-002,Indian Navy,India,Falcon 10X,2,2,2023-01-18,2023-02-17,30,True,Nagpur,Sea Freight,Passed,
VL0080000037,SD00000069,CUST-PRIV-004,Total Energies,France,Spare_Parts_Bundle,1,1,2023-07-20,2023-09-18,60,True,Bordeaux,Sea Freight,Passed,DELAY_60D
VL0080000038,SD00000072,CUST-PRIV-002,Reliance Industries,India,Spare_Parts_Bundle,1,1,2021-11-01,2021-12-31,60,True,Merignac,Sea Freight,Passed,DELAY_60D
VL0080000039,SD00000073,CUST-EGY-001,Egyptian Air Force,Egypt,Falcon 10X,10,8,2022-01-10,2022-02-09,30,True,Nagpur,Sea Freight,Passed,
VL0080000040,SD00000074,CUST-IND-002,Indian Navy,India,Falcon 10X,2,2,2026-01-11,2026-01-11,0,False,Merignac,Air Freight,Passed,
VL0080000041,SD00000075,CUST-HRV-001,Croatian Air Force,Croatia,Spare_Parts_Bundle,1,1,2026-09-07,2027-03-06,180,True,Merignac,Road,Passed,CRITICAL_DELAY_180D
